"matricula","data_admissao","cargo","mes_referencia","remuneracao_bruta","remuneracao_eventual","beneficios","descontos_legais","remuneracao_liquida"
"164","18/03/1991","COORDENADOR DE COMPRAS E LICITACOES FG2","8/2017","23246,08","0,00","2557,07","8080,38","17722,77"
"390","05/09/2014","COORDENADOR DE CONTABILIDADE FG2","8/2017","13175,76","0,00","0,00","3267,84","9907,92"
"460","19/11/2014","COORDENADOR DE ESPACO FISICO FG2","8/2017","8321,52","0,00","0,00","1597,93","6723,59"
"103","01/03/1991","COORDENADOR DE GESTAO DE PESSOAL FG2","8/2017","23246,08","0,00","0,00","7325,05","15921,03"
"374","26/08/2014","COORDENADOR DE INFRAESTRUTURA, REDES E TELECOMUNICACAO FG2","8/2017","12942,30","3055,07","0,00","3444,89","12552,48"
"414","02/09/2014","COORDENADOR DE MANUTENCAO E CONSERVACAO FG2","8/2017","8747,58","0,00","0,00","1696,94","7050,64"
"162","28/02/1991","COORDENADOR DE PATRIMONIO FG2","8/2017","23246,08","3238,99","2557,07","8918,97","20123,17"
"255","06/01/1992","COORDENADOR DE PROCESSO LEGISLATIVO FG2","8/2017","23246,08","0,00","0,00","7377,19","15868,89"
"181","15/04/1991","COORDENADOR DE PROTOCOLO FG2","8/2017","23246,08","0,00","2557,07","8028,24","17774,91"
"426","08/09/2014","COORDENADOR DE REGISTRO PARLAMENTAR E REVISAO FG2","8/2017","12553,19","0,00","0,00","3203,39","9349,80"
"468","30/01/2015","COORDENADOR DE RELACOES PUBLICAS E CERIMONIAL FG2","8/2017","12553,19","8870,64","0,00","3255,14","18168,69"
"376","26/08/2014","COORDENADOR DE SAUDE E QUALIDADE DE VIDA FG2","8/2017","8570,05","5882,68","0,00","1790,37","12662,36"
"449","31/10/2014","COORDENADOR DE SEGURANCA FG2","8/2017","8534,55","0,00","0,00","1777,78","6756,77"
"404","10/09/2014","COORDENADOR DE SISTEMAS DE INFORMACAO FG2","8/2017","12553,19","0,00","0,00","3203,39","9349,80"
